Classification,Description,FY 2025,FY2026,,,,
REVENUE,FY 2025 Levy,"11,711,401.15","12,167,721.88",,,,(1665+12000+261530)
REVENUE,FY2025 Amended New Growth,0,,,,,
REVENUE,2 1/2 Tax Increase,"292,785.03","304,193.05",,,,
REVENUE,New Growth,"160,000","160,000",,,,
REVENUE,Debt Exclusion,"1,268,564","1,856,509.94",,,,"7,361,882.40"
REVENUE,State Aid Chap. 70 (HWM's estimate),"4,222,848","4,318,848",,,,
REVENUE,Charter Tuition Reimbursement,0,,,,,
REVENUE,State Aid Local (HWM's estimate),"749,194","765,676",,,,
REVENUE,Veterans Benefits,"22,214","9,180",,,,
REVENUE,Exempt Elderly,"32,948","50,097",,,,
REVENUE,State Owned Land,"60,685","60,685",,,,
REVENUE,Public Library,"16,449","18,825",,,,
REVENUE,School Choice,"812,992","997,422",,,,
REVENUE,Motor Vehicle Excise,"875,000","920,000",,,,
REVENUE,Other Excise,0,"19,000",,,,
REVENUE,Rentals Solar,"158,970","162,149.40",,,,
REVENUE,Meals Tax,"35,000","40,000",,,,
REVENUE,Pen. & Int.,"60,000","90,000",,,,
REVENUE,Other Charges,"83,000","100,000",,,,
REVENUE,Fees,"50,000","25,000",,,,
REVENUE,License & Permits,"125,000","127,500",,,,
REVENUE,Fines,"10,750","10,965",,,,
REVENUE,Invest Income,"10,000","100,000",,,,
REVENUE,E.M.S. Receipts Reserved Account,"450,000","485,000",,,,
REVENUE,Overlay Surplus - ATM,0,0,,,,
REVENUE,High School Stabilization,"2,747,558","3,013,899",,,,
REVENUE,Operating Free Cash,"735,342","279,053.16",,,,
REVENUE,General Stabilization Fund,"130,000","706,379",,,,
BACKCHARGES,State and County Charges & Deficits,"204,967","205,405",,,,
BACKCHARGES,Abatements and Exemptions,"100,000","100,000",,,,
BACKCHARGES,Library,"16,449","18,825",,,,
BACKCHARGES,Charter School Sending,0,0,,,,
BACKCHARGES,School Choice Sending/Receiving,"734,585","942,700",,,,
EXPENSES,Local Government General Cost,"7,351,801.08","7,776,834.08",,,,
EXPENSES,Reserved for Debt Exclusion,"1,268,563.50","1,856,509.94",,,,
EXPENSES,Local Schools-Net School Spending,"10,209,258.21","10,572,995.50",,,,
EXPENSES,Local Schools-Non Net School Spending,"636,324","770,411",,,,
EXPENSES,Regional Vocational H.S.,"1,332,200","1,353,780",,,,
EXPENSES,S/B/HighScool Assesment,"2,747,558","3,013,899",,,,
EXPENSES,S/B/HighSchool Taxation,"79,040",0,,,,
EXPENSES,Regional Aggy.,"139,953.24","176,743.22",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,FY2025,,,,
,,General Levy,"$12,164,186",,,,
,,Debt Exclusions,"$1,268,564",,,,
,,SBRHS Appropriation,"$2,747,558",,,,
,,State Aid,"$5,917,330",,,,
,,Local Receipts,"$1,407,720",,,,
,,EMS Receipts,"$450,000",,,,
,,Totals,"$23,955,358",,,,
