ORG CODE,Fund,OBJECT CODE,DESCRIPTION,FY 2023 Budget,FY 2024 Budget,FY2025 Budget,BOS FY26
132,RESERVE FUND,5705780,RESERVE FUND OR UNFORSEEN,"25,000","25,000","25,000","25,000"
114,MODERATOR,5105111,SALARIES-MODERATOR,102,102,102,102
114,MODERATOR,5705700,OTHER CHARGES,"3,200","3,200","3,200","3,200"
122,SELECTMEN,5105111,SALARIES-BOARD OF SELECTMEN,"11,545","12,000","12,000","12,000"
122,SELECTMEN,5105115,SALARIES-TOWN ADMINISTRATOR,"68,300","68,300","77,000","80,000"
122,SELECTMEN,5105110,SALARIES-CLERICAL,"23,635","23,000","33,433.92","8,589"
122,SELECTMEN,,SALARIES-ADD. TEMP. HOURS,0,0,0,0
122,SELECTMEN,5705700,WEIGHTS & MEASURES,"2,000","2,000","2,000","2,000"
122,SELECTMEN,,ENGINEERING FEES,0,,,
122,SELECTMEN,5705700,OFFICE SUPPLIES,"6,038","6,500","4,000","5,250"
122,SELECTMEN,5705711,TRAVEL,50,100,100,100
122,SELECTMEN,5705731,DUES/SUBSCRIPTION/MEMBERSHIP,"1,155","1,200","1,500","3,000"
122,SELECTMEN,,ADDITIONAL EQUIPMENT/PHONE,0,"5,000","3,000","2,000"
122,SELECTMEN,,Town Administrator Search,"1,800",0,0,0
131,FINANCE COMMITTEE,5705731,ATFC Dues,180,180,180,180
131,FINANCE COMMITTEE,5705731,ATFC Annual Meeting,100,100,100,100
131,FINANCE COMMITTEE,5705713,MMA Annual Conference,"1,000","1,000","1,000","1,000"
131,FINANCE COMMITTEE,5705420,Office Supplies,50,50,50,50
135,TOWN ACCOUNTANT,5105115,SALARIES - TOWN ACCOUNTANT,"61,500","56,000","59,500","70,000"
135,TOWN ACCOUNTANT,5105115,SALARIES - ASST. TOWN ACCOUNTANT,"27,795","25,000","25,000","5,368.13"
135,TOWN ACCOUNTANT,5705301,AUDITING,"29,000","29,000","29,000","40,000"
135,TOWN ACCOUNTANT,5705301,GASB 45 VALUATION,0,0,"5,000","5,000"
135,TOWN ACCOUNTANT,5705700,OFFICE SUPPLIES,500,500,750,750
135,TOWN ACCOUNTANT,5705711,TRAVEL/TRAINING,100,100,100,100
135,TOWN ACCOUNTANT,5705731,DUES/SUBSCRIPTION/MEMBERSHIP,150,150,150,150
135,TOWN ACCOUNTANT,5705700,Postage,,100,100,100
135,TOWN ACCOUNTANT,5705700,Seminar/Conf Exp,"2,500",750,"1,500","1,500"
135,TOWN ACCOUNTANT,570-,Postage Meter,,,,
141,ASSESSORS,5105111,SALARIES - BOARD OF ASSESSORS,"11,545","12,000","12,240","12,546"
141,ASSESSORS,5105115,SALARIES - TOWN ASSESSOR,"31,371","31,371","36,000","66,000"
141,ASSESSORS,5105110,SALARIES-CLERICAL,0,0,"10,353","10,736.25"
141,ASSESSORS,,SALARIES-ADD. TEMP. HOURS,0,0,0,0
141,ASSESSORS,5705700,EXPENSES,"10,835","10,835","10,835","8,835"
141,ASSESSORS,5705305,RECERTIFICATION,"5,000","5,000","7,500","5,500"
141,ASSESSORS,5705715,TRAINING & TESTING,"3,000","3,000","2,500","2,500"
141,ASSESSORS,5105116,LIST/SERVE,"6,000","6,000","6,000","2,000"
141,ASSESSORS,5705249,SOFTWARE EXPENSE,"7,200","16,355","16,000","16,500"
141,ASSESSORS,,OFFICE SUPPLIES,0,,,
141,ASSESSORS,5705304,MAPPING,"6,680","6,680","7,680","8,680"
141,ASSESSORS,,OTHER CHARGES,0,,,
141,ASSESSORS,,DUES/SUBSCRIPTION/MEMBERSHIP,0,,,
141,ASSESSORS,,ADDITIONAL EQUIPMENT,0,,,
141,ASSESSORS,,MMA Expense,0,800,800,0
141,ASSESSORS,,NearMap,"3,700",,,
145,TOWN TREASURER,5105111,SALARIES-TREASURER,"31,698","34,198","35,198","5,866.33"
145,TOWN TREASURER,5105115,SALARIES-H.R. ADMIN./ASST. TREA.,"24,700","25,000","27,341.60","29,179.50"
145,TOWN TREASURER,5105110,SALARIES- CLERICAL,"19,928","19,928","23,000","22,417"
145,TOWN TREASURER,,SALARIES-Appointed Treasurer/Collector,0,,,"62,499.75"
145,TOWN TREASURER,5705407,POSTAGE,"5,500","5,665","4,000","4,000"
145,TOWN TREASURER,5705420,OFFICE SUPPLIES,"1,000","1,200","1,200","1,200"
145,TOWN TREASURER,5705700,OTHER CHARGES,"6,315","6,700","5,000","5,000"
145,TOWN TREASURER,5705336,TAX TITLE,"8,000","8,200","9,000","9,000"
145,TOWN TREASURER,,ADDITIONAL EQUIPMENT,,0,,
145,TOWN TREASURER,,Education,,,"1,000","1,000"
